0,1252,1989,2617,3353,4163,4765,5377,5705,6536,7036,7498,8206,8767,9659,10456,11067,11600,12249,13655,15929,14581,13073,12401,11630,11138,10530,9775,9035,8271,7687,7182,6717,6612,6766,7062,7343,7769,8291,8993,9702,10444,11115,10101,9509,9278,9157,8670,8335,8208,8281,8572,8837,9152,9582,10108,11055,12080,12917,13878,14225,14840,5329,5293,5168,5528,5883,6421,6859,7499,8374,12330,11169,10049,8075,6899,5260,4649,3505,2620,1951,16691,15738,14614,13562,12553,12054,10374,8773,15386,14229,13773,13008,12674,12670,12581,12310,12578,13009,13778,7663,7544,7538,7608,5864,4837,5263,5782,6133,6989,7965,6916,6890,7290,7869,1503,2253,3428,4460,7679,10244,11326,1327,2338,3859,5129,7465,9006,10172,11834,13744,13964,13217,12351,11640,9948,8716,8061,6507,5157,4648,3937,3607,4045,6248,6994,9112,15718,14478,13893,13232,12544,12272,11010,10784,10793,10411,9679,8468,10379,10450,11581,12216,
1252,0,977,1660,2456,3293,3944,4471,4706,5519,6008,6472,7166,7703,8570,9347,9950,10440,11047,12446,15009,13672,12208,11539,10753,10242,9609,8849,8103,7347,6765,6278,5804,5475,5574,5827,6095,6517,7049,7774,8508,9274,9981,10025,9295,8923,8650,7974,7503,7235,7167,7416,7640,7915,8331,8856,9807,10840,11685,12653,13026,13676,4093,4106,4123,4836,5382,6089,6643,7435,8438,12003,10795,9624,7591,6494,4989,4587,3641,2521,1488,16082,15086,13980,12989,12035,11593,10083,8620,14710,13499,12976,12033,11626,11571,11416,11078,11335,11758,12528,6858,6569,6450,6448,4645,3586,4052,4666,5072,5974,7054,6147,6253,6843,7599,501,1001,2196,3242,6479,9049,10135,1586,2842,4455,5762,8113,9646,10840,12584,14498,14834,14088,13219,12507,10811,9575,8917,7355,5964,5314,4354,3430,3514,5544,6232,8262,15761,14474,13808,13048,12236,11907,10553,10198,10099,9614,8808,7380,9165,9206,10331,10964,
1989,977,0,684,1479,2316,2967,3499,3758,4581,5075,5539,6242,6792,7677,8469,9079,9612,10283,11695,14047,12707,11236,10566,9782,9274,8645,7885,7140,6382,5799,5308,4835,4623,4800,5161,5505,6024,6648,7469,8275,9092,9869,9252,8461,8035,7714,7002,6526,6282,6292,6585,6870,7248,7757,8344,9345,10425,11302,12300,12751,13485,3451,3328,3196,3871,4464,5229,5830,6689,7753,11114,9893,8708,6665,5601,4174,3900,3136,1964,895,15116,14115,13012,12031,11090,10663,9213,7818,13736,12522,11999,11085,10708,10685,10594,10386,10688,11170,12037,5881,5616,5554,5623,3935,3158,3849,4671,5163,6110,7301,6557,6772,7485,8332,1322,920,1599,2547,5717,8274,9351,2563,3819,5433,6740,9091,10623,11817,13560,15474,14724,13981,13115,12406,10716,9488,8834,7287,5886,5131,4011,2727,2616,4575,5256,7287,16601,15297,14598,13794,12919,12558,11154,10710,10524,9950,9076,7379,8865,8777,9831,10423,
2617,1660,684,0,796,1633,2287,2816,3093,3921,4419,4882,5589,6149,7045,7847,8462,9026,9743,11161,13368,12027,10553,9882,9099,8592,7965,7206,6461,5702,5118,4625,4153,4036,4277,4724,5124,5713,6399,7283,8135,8982,9805,8766,7924,7448,7081,6330,5842,5610,5678,6005,6335,6790,7368,7998,9029,10140,11037,12052,12557,13349,3069,2823,2551,3212,3861,4681,5323,6239,7348,10522,9291,8095,6044,5017,3684,3541,2972,1846,1013,14450,13443,12344,11374,10445,10033,8642,7311,13062,11842,11315,10414,10057,10056,10010,9898,10232,10756,11690,5198,4944,4926,5050,3480,2972,3807,4752,5290,6251,7504,6875,7158,7944,8846,1972,1342,1408,2153,5195,7729,8797,3247,4503,6116,7423,9773,11305,12500,14245,16158,14730,13991,13129,12425,10747,9531,8884,7362,5972,5156,3945,2394,2057,3909,4578,6602,17175,15861,15139,14305,13388,13006,11572,11070,10826,10195,9280,7411,8671,8490,9485,10045,
3353,2456,1479,796,0,837,1491,2034,2363,3199,3701,4161,4874,5449,6363,7180,7800,8410,9193,10616,12592,11248,9765,9094,8313,7810,7190,6432,5689,4927,4343,3844,3375,3453,3797,4366,4840,5512,6270,7221,8119,8996,9867,8178,7279,6746,6328,5538,5048,4855,5031,5412,5812,6376,7045,7726,8790,9932,10850,11883,12453,13311,2851,2424,1882,2436,3155,4042,4731,5709,6867,9809,8567,7362,5305,4329,3139,3182,2897,1943,1525,13662,12651,11553,10593,9677,9280,7954,6705,12267,11046,10520,9656,9336,9371,9396,9423,9799,10377,11397,4402,4191,4258,4479,3131,3024,3987,5037,5614,6575,7879,7369,7716,8567,9516,2762,2053,1648,1991,4703,7182,8231,4042,5299,6912,8219,10570,12101,13296,15038,16952,14698,13966,13112,12415,10759,9564,8931,7449,6091,5220,3939,2143,1476,3123,3782,5811,17891,16568,15825,14964,14007,13606,12144,11586,11285,10597,9643,7603,8587,8290,9205,9719,
4163,3293,2316,1633,837,0,664,1215,1631,2461,2962,3411,4127,4718,5648,6478,7103,7763,8618,10041,11768,10423,8932,8260,7481,6982,6368,5612,4872,4108,3524,3020,2554,2906,3376,4076,4621,5370,6190,7200,8137,9037,9951,7641,6671,6062,5570,4715,4211,4058,4368,4813,5292,5977,6740,7470,8561,9729,10664,11710,12346,13271,2802,2194,1294,1665,2508,3482,4225,5270,6474,9102,7849,6631,4576,3688,2752,3044,3096,2391,2269,12844,11825,10732,9787,8891,8517,7287,6154,11438,10211,9682,8850,8569,8644,8747,8930,9351,9986,11093,3565,3400,3580,3922,2906,3246,4283,5403,6006,6954,8294,7906,8311,9220,10214,3590,2836,2169,2103,4239,6620,7641,4880,6136,7749,9056,11406,12938,14133,15876,17789,14762,14040,13197,12512,10886,9721,9105,7680,6370,5462,4151,2231,1229,2321,2952,4976,18628,17295,16531,15642,14646,14225,12738,12124,11766,11023,10036,7839,8527,8109,8927,9388,
4765,3944,2967,2287,1491,664,0,717,1300,2058,2540,2962,3671,4277,5220,6062,6688,7403,8331,9748,11168,9818,8310,7637,6865,6374,5775,5025,4293,3528,2948,2434,1986,2740,3320,4117,4710,5507,6364,7407,8365,9277,10217,7134,6118,5461,4925,4051,3576,3523,4022,4534,5091,5885,6724,7490,8594,9776,10721,11774,12461,13435,3083,2381,1251,1033,1971,2995,3769,4855,6081,8480,7222,5999,3950,3132,2445,2936,3252,2761,2835,12179,11162,10068,9124,8232,7867,6692,5645,10777,9555,9040,8284,8060,8187,8381,8723,9185,9870,11050,2918,2882,3228,3708,3049,3680,4736,5883,6495,7429,8785,8465,8899,9835,10846,4251,3499,2772,2527,4116,6360,7345,5530,6786,8399,9706,12057,13590,14784,16518,18432,14686,13975,13142,12468,10873,9736,9138,7768,6510,5585,4278,2362,1260,1661,2291,4349,19273,17937,17164,16263,15249,14818,13319,12677,12287,11512,10507,8221,8695,8184,8917,9329,
5377,4471,3499,2816,2034,1215,717,0,637,1341,1822,2247,2959,3563,4505,5346,5972,6686,7624,9039,10558,9214,7737,7067,6283,5776,5156,4399,3657,2894,2310,1810,1341,2113,2754,3609,4231,5059,5940,7006,7979,8897,9861,7279,6189,5426,4750,3683,3046,2846,3309,3835,4418,5264,6145,6932,8042,9231,10179,11236,11960,12973,2841,2083,894,1151,2194,3245,4040,5158,6399,8365,7097,5865,3865,3252,2926,3542,3953,3475,3480,11789,10745,9672,8786,7953,7646,6662,5801,10343,9084,8517,7635,7370,7478,7664,8040,8517,9224,10442,2435,2193,2515,3038,2665,3599,4654,5822,6441,7346,8717,8515,9006,10001,11062,4730,3908,2996,2490,3491,5663,6636,6053,7307,8918,10224,12569,14095,15294,17054,18967,15255,14551,13727,13060,11484,10365,9777,8433,7196,6268,4967,3064,1962,1500,1909,3793,19526,18177,17374,16436,15374,14921,13399,12699,12253,11430,10401,8006,8251,7665,8334,8715,
5705,4706,3758,3093,2363,1631,1300,637,0,837,1339,1797,2511,3092,4018,4847,5471,6142,7038,8457,10311,8980,7557,6894,6098,5571,4920,4160,3414,2673,2106,1672,1215,1475,2129,3003,3635,4474,5364,6438,7417,8337,9312,7758,6629,5803,5030,3807,2994,2529,2749,3236,3794,4627,5512,6302,7412,8602,9552,10609,11344,12371,2427,1661,646,1734,2764,3806,4601,5724,6966,8661,7392,6165,4229,3754,3555,4178,4552,3997,3874,11820,10749,9702,8881,8111,7858,7033,6293,10329,9032,8403,7327,6973,7019,7125,7423,7891,8590,9805,2476,1863,1956,2411,2146,3290,4323,5491,6111,6987,8360,8254,8790,9832,10934,4908,4030,2977,2270,2853,5061,6054,6264,7507,9106,10407,12739,14253,15457,17246,19156,15891,15188,14364,13697,12121,11000,10410,9058,7810,6884,5578,3662,2560,1921,2107,3682,19414,18056,17226,16257,15155,14684,13145,12400,11911,11055,10011,7547,7660,7045,7699,8077,
6536,5519,4581,3921,3199,2461,2058,1341,837,0,502,962,1674,2257,3187,4021,4647,5345,6291,7703,9525,8204,6817,6162,5362,4823,4158,3402,2663,1961,1442,1144,840,1147,1889,2815,3465,4323,5227,6314,7299,8216,9215,7816,6627,5709,4807,3417,2436,1743,1969,2524,3166,4123,5088,5909,7016,8209,9160,10216,11011,12095,2756,2052,1400,2185,3114,4097,4874,5994,7226,8413,7156,5949,4152,3925,4066,4792,5287,4803,4711,11242,10148,9132,8382,7688,7505,6911,6392,9713,8387,7709,6517,6138,6184,6324,6747,7253,8000,9289,2065,1093,1178,1825,2298,3725,4696,5843,6454,7278,8646,8670,9256,10344,11483,5699,4802,3687,2849,2389,4348,5302,7063,8299,9891,11187,13509,15016,16222,18025,19933,16405,15712,14901,14246,12702,11608,11034,9725,8514,7584,6290,4401,3300,2090,1941,3039,19966,18598,17742,16741,15596,15104,13548,12747,12201,11296,10234,7666,7447,6713,7243,7557,
